# 1 Sample: 36 Time: 0.517967 POSN: (-9.272573, 10.832082, -5.899638)
VEL: (-9.558949, 7.8408947, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 36 Time: 0.517967 POSN: (3.1464398, 8.456863, -1.9422325)
VEL: (-20.464504, 3.2606132, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 37 Time: 0.44820997 POSN: (2.8306897, 12.935838, 12.970568)
VEL: (16.08812, -2.9792397, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 37 Time: 0.44820997 POSN: (-9.909838, 11.327558, -4.61576)
VEL: (-9.558949, 7.1868954, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 37 Time: 0.44820997 POSN: (1.7821392, 8.646988, -2.7515674)
VEL: (-20.464504, 2.606613, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 38 Time: 0.460924 POSN: (3.903231, 12.709972, 11.552813)
VEL: (16.08812, -3.63324, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 38 Time: 0.460924 POSN: (-10.547102, 11.779434, -3.3318822)
VEL: (-9.558949, 6.532896, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 38 Time: 0.460924 POSN: (0.4178389, 8.793511, -3.560902)
VEL: (-20.464504, 1.9526126, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 39 Time: 0.323071 POSN: (4.975773, 12.440506, 10.135057)
VEL: (16.08812, -4.28724, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 39 Time: 0.323071 POSN: (-11.184366, 12.187711, -2.0480049)
VEL: (-9.558949, 5.8788967, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 39 Time: 0.323071 POSN: (-0.94646144, 8.896436, -4.3702374)
VEL: (-20.464504, 1.2986124, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 40 Time: 0.162966 POSN: (6.048315, 12.12744, 8.717302)
VEL: (16.08812, -4.9412394, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 40 Time: 0.162966 POSN: (-11.8216305, 12.552387, -0.76412743)
VEL: (-9.558949, 5.2248974, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 40 Time: 0.162966 POSN: (-2.3107617, 8.95576, -5.179573)
VEL: (-20.464504, 0.64461225, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 41 Time: 0.03131 POSN: (7.1208572, 11.770774, 7.2995462)
VEL: (16.08812, -5.5952387, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 41 Time: 0.03131 POSN: (-12.458895, 12.873464, 0.5197502)
VEL: (-9.558949, 4.570898, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 41 Time: 0.03131 POSN: (-3.6750624, 8.971484, -5.988909)
VEL: (-20.464504, -0.009387791, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 42 Time: 0.033092 POSN: (7.6571283, 11.576091, 6.5906677)
VEL: (16.08812, -5.9222383, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 42 Time: 0.033092 POSN: (-12.777527, 13.0176525, 1.161689)
VEL: (-9.558949, 4.2438984, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 42 Time: 0.033092 POSN: (-4.3572125, 8.9629965, -6.3935766)
VEL: (-20.464504, -0.3363878, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 43 Time: 0.636341 POSN: (8.193399, 11.370508, 5.881789)
VEL: (16.08812, -6.249238, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 43 Time: 0.636341 POSN: (-13.096159, 13.150941, 1.8036277)
VEL: (-9.558949, 3.9168985, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 43 Time: 0.636341 POSN: (-5.0393624, 8.943608, -6.7982445)
VEL: (-20.464504, -0.66338784, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 44 Time: 0.44409797 POSN: (9.26594, 10.926642, 4.464032)
VEL: (16.08812, -6.9032373, -21.266354) ROT: (-0.45148626, -2.9185827, 1.0013981)
# 1 Sample: 44 Time: 0.44409797 POSN: (-13.733423, 13.384817, 3.087505)
VEL: (-9.558949, 3.2628982, 19.258163) ROT: (-2.216682, -1.7523447, 0.743742)
# 2 Sample: 44 Time: 0.44409797 POSN: (-6.403662, 8.872132, -7.60758)
VEL: (-20.464504, -1.3173878, -12.140027) ROT: (-1.8495443, -2.756417, 3.2362974)
# 0 Sample: 45 Time: 0.50908196 POSN: (10.33848, 10.439177, 3.0462751)
